City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
683,Yanam,IN,82.8,overcast clouds,16.7333,82.2167,The Regency Hotel
686,Kavaratti,IN,81.55,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
688,Pemangkat,ID,81.37,overcast clouds,1.1667,108.9667,Ramah Kost KITA
690,Vanimo,PG,82.22,moderate rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
691,Kokoda,PG,80.37,overcast clouds,-8.8785,147.7407,Daito Guest House
693,Manzanillo,CU,78.39,overcast clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
694,Hatillo,PR,81.16,clear sky,18.4863,-66.8254,Hotel Parador El Buen Cafe
700,Manggar,ID,84.61,overcast clouds,-2.8833,108.2667,Guest Hotel
703,Ixtapa,MX,76.23,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
705,Hervey Bay,AU,78.91,clear sky,-25.2986,152.8535,Shelly Bay Resort
708,Guane,CU,78.84,scattered clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
709,Suluq,LY,77.85,clear sky,31.6682,20.2521,منزل عبدالواحد خليفة الفاخري
710,Totness,SR,77.74,broken clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
714,Bintulu,MY,84.61,few clouds,3.1667,113.0333,900 Boutique INN
717,Kapaa,US,85.98,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
729,Nalchiti,BD,78.64,moderate rain,22.6333,90.2833,Abdus Satter Khalifa
732,Dumas,US,78.12,clear sky,35.8656,-101.9732,"Holiday Inn Express & Suites Dumas, an IHG Hotel"
735,Ballina,AU,78.98,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
738,Dori,BF,84.63,overcast clouds,14.0354,-0.0345,Hôtel Liptako
742,Waddan,LY,79.2,clear sky,29.1614,16.139,محل الشريف محمد العايب
746,Galesong,ID,84.22,overcast clouds,-5.3166,119.3661,Sapriadi Appy
748,Bol,TD,82.4,clear sky,13.4586,14.7147,Hotel 3 Etoiles
752,Porto De Moz,BR,76.57,overcast clouds,-1.7483,-52.2383,Dormitório labelle
755,Sibu,MY,79.11,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
760,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
763,Sorong,ID,81.95,overcast clouds,-0.8833,131.25,waigo splash hotel
770,Kimbe,PG,87.1,light rain,-5.5502,150.1429,Kimbe Bay Hotel
776,Athens,GR,81.37,clear sky,37.9795,23.7162,Novotel Athenes
778,San Andres,CO,82.42,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
782,Oistins,BB,75.29,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
783,Cockburn Town,TC,82.74,clear sky,21.4612,-71.1419,Osprey Beach Hotel
785,Gilgit,PK,78.33,clear sky,35.9221,74.3087,Tourist Hamlet Gilgit
787,Padang,ID,78.85,overcast clouds,-0.9492,100.3543,Mercure Padang
788,Puerto Cabezas,NI,78.69,overcast clouds,14.0351,-83.3888,Cabaña Caribe
789,Urucara,BR,76.87,scattered clouds,-2.5364,-57.76,Pousada Maria Bonita
796,Madanapalle,IN,77.86,overcast clouds,13.55,78.5,Prithvi Lodge
797,Sinjar,IQ,76.59,clear sky,36.3209,41.8754,زوماني فون 1
798,Caronport,CA,75.69,broken clouds,50.4501,-105.8179,Pilgrim Inn
799,Atambua,ID,84.99,scattered clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
800,Azare,NG,76.28,broken clouds,11.6765,10.1948,Muk hostel
802,North Platte,US,80.49,clear sky,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
804,Mana,GF,79.09,overcast clouds,5.6592,-53.7767,LE SAMANA
805,Biak,ID,80.56,overcast clouds,-0.9131,122.8766,Penginapan Kim
808,Bonthe,SL,76.41,moderate rain,7.5264,-12.505,Bonthe Holiday Village
809,Road Town,VG,81.0,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
811,Praya,CV,79.34,scattered clouds,14.9215,-23.5087,LT Aparthotel
816,Sao Miguel Do Araguaia,BR,81.43,clear sky,-13.275,-50.1628,Hotel Executivo Palace
817,Sinnar,SD,75.18,scattered clouds,13.5691,33.5672,هجو الطاهر
818,Kousseri,CM,80.56,thunderstorm,12.0769,15.0306,Le Pilotis
