City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
199,Kenora,CA,49.8167,-94.4337,64.38,59,1,10.36,clear sky
200,Vestmannaeyjar,IS,63.4427,-20.2734,51.17,89,15,17.94,few clouds
201,Bubaque,GW,11.2833,-15.8333,81.05,74,100,5.75,light rain
202,Butaritari,KI,3.0707,172.7902,82.8,69,13,16.67,few clouds
203,West Bay,KY,19.3667,-81.4167,84.27,83,20,1.99,few clouds
204,Pirovskoye,RU,57.6267,92.2658,47.01,82,100,3.94,overcast clouds
205,Taksimo,RU,56.3444,114.8794,47.77,57,27,2.21,scattered clouds
206,Tazovskiy,RU,67.4667,78.7,38.05,92,77,10.45,broken clouds
207,Leningradskiy,RU,69.3833,178.4167,28.31,84,96,19.39,overcast clouds
208,Bentiu,SS,9.2333,29.8333,67.5,98,95,3.51,overcast clouds
209,Atar,MR,20.5169,-13.0499,83.73,41,53,11.99,broken clouds
210,Victoria,HK,22.2855,114.1577,90.97,81,58,3.0,broken clouds
211,Jalu,LY,29.0331,21.5482,77.09,37,0,7.18,clear sky
212,Gairo,IT,39.8497,9.5047,62.17,56,0,5.5,clear sky
213,Klenovyy,UA,48.1193,39.4588,56.71,57,100,11.59,overcast clouds
214,Chistogorskiy,RU,53.9835,87.3843,47.98,67,72,5.1,broken clouds
215,Lasa,IT,46.6166,10.7002,58.08,92,87,1.57,overcast clouds
216,Businga,CD,3.3333,20.8833,71.73,91,100,1.01,overcast clouds
217,Praia Da Vitoria,PT,38.7333,-27.0667,66.76,88,75,8.81,broken clouds
218,Trelew,AR,-43.249,-65.3051,52.97,42,6,5.7,clear sky
219,Beroroha,MG,-21.6667,45.1667,59.88,56,22,6.62,few clouds
220,Porto Torres,IT,40.835,8.3972,64.58,82,22,5.93,few clouds
221,Umm Lajj,SA,25.0213,37.2685,80.87,63,2,8.34,clear sky
222,Kilindoni,TZ,-7.9139,39.6668,75.7,79,26,7.38,scattered clouds
223,Port Elizabeth,ZA,-33.918,25.5701,61.09,77,0,14.97,clear sky
224,Manta,EC,-0.95,-80.7333,73.18,88,90,13.8,overcast clouds
225,Nhulunbuy,AU,-12.2333,136.7667,86.61,45,40,17.27,scattered clouds
226,Raudeberg,NO,61.9875,5.1352,57.2,79,97,1.01,overcast clouds
227,Naze,JP,28.3667,129.4833,83.32,65,9,4.47,clear sky
228,Pokhara,NP,28.2333,83.9833,72.88,92,94,1.54,overcast clouds
229,Clearwater,US,27.9659,-82.8001,80.91,87,1,3.0,clear sky
230,Cidreira,BR,-30.1811,-50.2056,63.86,95,15,4.63,few clouds
231,Monte Alegre,BR,-2.0078,-54.0692,75.33,83,65,3.04,broken clouds
232,Sri Aman,MY,1.2376,111.4621,82.45,83,40,4.61,scattered clouds
233,Torbay,CA,47.6666,-52.7314,61.39,91,75,16.11,broken clouds
234,Shache,CN,38.4167,77.2406,73.42,17,0,4.94,clear sky
235,Jieshi,CN,22.8134,115.8257,84.2,76,81,11.01,broken clouds
236,Callaway,US,30.153,-85.5699,76.96,95,90,1.99,overcast clouds
237,Buraydah,SA,26.326,43.975,82.85,19,5,8.7,clear sky
238,Novikovo,RU,51.1537,37.8879,50.23,66,100,16.53,light rain
239,Acapulco,MX,16.8634,-99.8901,82.22,78,90,0.0,overcast clouds
240,Grindavik,IS,63.8424,-22.4338,48.15,87,75,10.36,broken clouds
241,Kashmor,PK,28.4333,69.5833,89.33,49,4,7.9,clear sky
242,Norton,ZW,-17.8833,30.7,53.28,86,3,5.93,clear sky
243,Airai,TL,-8.9266,125.4092,75.45,36,18,5.23,few clouds
244,Tigil,RU,57.8,158.6667,60.33,52,100,5.37,overcast clouds
245,San Blas,MX,21.5167,-105.2667,79.63,90,79,3.13,broken clouds
246,Ambilobe,MG,-13.2,49.05,72.32,90,93,3.42,light rain
247,Slave Lake,CA,55.2834,-114.769,51.78,82,40,10.36,scattered clouds
248,Sioux Lookout,CA,50.1001,-91.917,62.98,63,20,9.22,few clouds
249,Inta,RU,66.0317,60.1659,35.8,68,100,18.39,overcast clouds
250,Husavik,IS,66.0449,-17.3389,42.71,84,72,11.36,light rain
251,Ilulissat,GL,69.2167,-51.1,21.22,63,1,0.0,clear sky
252,La Ronge,CA,55.1001,-105.2842,57.45,72,90,9.22,overcast clouds
253,Belmonte,BR,-15.8631,-38.8828,73.9,79,7,5.44,clear sky
254,Canico,PT,32.6333,-16.85,72.68,76,75,1.99,broken clouds
255,Beloha,MG,-25.1667,45.05,61.5,63,99,7.14,overcast clouds
256,Avarua,CK,-21.2078,-159.775,78.85,65,20,14.97,few clouds
257,Barabash,RU,43.2,131.4833,69.48,46,92,1.86,overcast clouds
258,Cobija,BO,-11.0267,-68.7692,79.3,60,64,3.44,broken clouds
259,Tyup,KG,42.7276,78.3648,62.71,27,0,0.87,clear sky
260,Bowen,AU,-20.0167,148.2333,75.47,59,2,15.52,clear sky
261,Serov,RU,59.6033,60.5787,33.73,78,100,9.89,overcast clouds
262,Rivadavia,AR,-33.1905,-68.4608,64.87,31,0,12.48,clear sky
263,Tasiilaq,GL,65.6145,-37.6368,37.56,66,100,5.17,overcast clouds
264,Dzilam Gonzalez,MX,21.2833,-88.9333,80.62,78,63,5.48,broken clouds
